complaint_id,product_group,s_class,s_conf,s_deleg,s_eval,g_class,g_conf,g_deleg,g_eval,care_p,care_sent,fairness_p,fairness_sent,loyalty_p,loyalty_sent,authority_p,authority_sent,sanctity_p,sanctity_sent,emfd_hits,word_count,concordant,avg_conf,conf_tercile
4075410,mortgage,EVALUATIVE,0.85,0.2,0.85,EVALUATIVE,0.85,0.3,0.9,0.0270967263228139,-0.1601135812074263,0.0322882570236077,-0.0749545436643917,0.0254671767262068,-0.0579538324472901,0.0230131468803087,-0.091608198932854,0.0236713196402787,-0.1062754293771793,68,235,True,0.85,High
9311936,mortgage,EVALUATIVE,0.82,0.15,0.85,EVALUATIVE,0.8,0.3,0.8,0.0249081008436597,-0.1192983700083428,0.0253868288354867,-0.0316286184234977,0.0208458103819942,-0.0357795709221511,0.0196334987782029,-0.0564377199476587,0.0176872446925441,-0.0881438115942743,65,262,True,0.81,Medium
7072668,mortgage,EVALUATIVE,0.85,0.2,0.85,EVALUATIVE,0.8,0.4,0.8,0.0350559761851195,-0.1206409937116681,0.0409771842960856,-0.0560795485897663,0.0289722196803944,-0.0513443723266525,0.0239761555706151,-0.1195738341332272,0.0273989750103413,-0.0921370262196869,68,234,True,0.825,Medium
2823126,mortgage,DELEGATIVE,0.75,0.75,0.25,DELEGATIVE,0.8,0.8,0.4,0.0287996263217707,-0.0698087001706912,0.0308638105336414,-0.051561297798473,0.0264051357627134,-0.0430966785516041,0.0251365217351198,-0.0717144414391807,0.0216368202630094,-0.0694445720941647,33,121,True,0.775,Low
5839138,mortgage,DELEGATIVE,0.82,0.8,0.4,DELEGATIVE,0.8,0.8,0.5,0.0237451930796141,-0.0742836615356673,0.0329957666534593,-0.0177630960564458,0.02239076011331,-0.0047765106234631,0.0250363431524559,-0.0446821640951108,0.0182499563467244,-0.0723486580010095,84,320,True,0.81,Medium
1578829,mortgage,EVALUATIVE,0.85,0.15,0.85,EVALUATIVE,0.85,0.3,0.9,0.0273367818420959,-0.073118670516948,0.031115835619045,-0.0111581740486757,0.0232951459855807,0.0254847526533647,0.0226906766687536,0.0251526546155203,0.0189291813784666,-0.0046885936987898,116,417,True,0.85,High
3783870,mortgage,EVALUATIVE,0.75,0.25,0.85,EVALUATIVE,0.8,0.4,0.8,0.0261731096012583,-0.0971315242414362,0.0284846281531595,0.0084929475926833,0.0253810230493339,-0.0006994831388485,0.0260509463480325,-0.0755264150391704,0.0202238826429344,-0.0410122746550182,88,344,True,0.775,Low
3894493,mortgage,EVALUATIVE,0.82,0.15,0.85,EVALUATIVE,0.8,0.2,0.8,0.029070819590588,-0.0787361861566715,0.0321080617661374,-0.0216075127554094,0.0239130289507248,-0.0109666446677037,0.0286089889375437,-0.0484132785705922,0.0230386267180159,-0.0682793740465549,45,148,True,0.81,Medium
4190951,mortgage,EVALUATIVE,0.72,0.35,0.75,DELEGATIVE,0.8,0.8,0.4,0.0255285514930025,-0.115547329536462,0.0294212326854579,-0.0478874850199822,0.0224451760773116,-0.0719468463601258,0.0233595114272704,-0.0782135422376231,0.0175710612390079,-0.1103925854758697,82,328,False,0.76,Low
12073209,mortgage,EVALUATIVE,0.85,0.15,0.85,EVALUATIVE,0.85,0.2,0.9,0.0265361957606682,-0.0966417433066667,0.0308017363842091,-0.032255413581692,0.021208601793022,-0.0468432077766012,0.0258425758736471,-0.0405469148827463,0.0198560595530867,-0.0949907393901667,119,473,True,0.85,High
