Predictor,B,SE,Standardized_Beta,t,p,CI_lower,CI_upper
Intercept,3.4347,0.5765,,5.9578,0.0,2.3007,4.5686
cond_A,-0.0419,0.3765,-0.0138,-0.1114,0.911404,-0.7825,0.6986
cond_B,0.259,0.3683,0.0876,0.7031,0.482452,-0.4655,0.9834
fin_lit_high,-0.4071,0.318,-0.1246,-1.2802,0.201325,-1.0326,0.2184
cond_A:fin_lit_high,0.0716,0.433,0.0216,0.1653,0.86878,-0.78,0.9232
cond_B:fin_lit_high,-0.1093,0.4242,-0.034,-0.2577,0.796813,-0.9437,0.7251
age,0.0044,0.0063,0.0377,0.7012,0.483657,-0.008,0.0168
robo_experience,0.7294,0.227,0.1697,3.2127,0.001439,0.2828,1.176
comprehension_pass,0.066,0.201,0.018,0.3286,0.742693,-0.3293,0.4614
attention_pass,0.4183,0.4149,0.0534,1.0082,0.314079,-0.3977,1.2343
MODEL SUMMARY,,,,,,R²=0.0515,Adj R²=0.0267
